CODIGO TITULO MIDIA PRECO GENERO
BV80471 RESURRECTION__1O._TEMPORADA_(2_DVD'S)_(_IDIOMA_INGLES) BOX 69.9 SUSPENSE
FO80446 RIO_2 DVD-S 44.9 ANIMACAO
FO80454 RIO_2_(2D_+_3D) BLU-R 99.9 ANIMACAO
FO80462 RIO_2__ BLU-R 79.9 ANIMACAO
SW79782 ROUBO_A_MAFIA DVD-S 49.9 SUSPENSE
SW79791 ROUBO_A_MAFIA_ BLU-R 89.9 SUSPENSE
CA79901 RUSH__NO_LIMITE_DA_EMOCAO SELL 39.9 ACAO
CA79910 RUSH__NO_LIMITE_DA_EMOCAO__ BLU-R 39.9 ACAO
MG79391 SAGA__A_MALDICAO_DAS_SOMBRAS DVD-S 99.9 ACAO
MG79405 SAGA__A_MALDICAO_DAS_SOMBRAS__ BLU-R 89.9 ACAO
LK79022 SEM_ESCALAS DVD-S 109.9 ACAO
LK79031 SEM_ESCALAS__ BLU-R 99.9 ACAO
FH79618 SID_&_NANCI__O_AMOR_MATA_(IDIOMA_INGLES) DVD-S 29.9 DRAMA
CL80314 SNATCH__PORCOS_E_DIAMANTES_(DVD_+_BD_+_LIVRO) DV+BD 69.9 SUSPENSE
MG79413 SOMBRAS_DA_MORTE DVD-S 79.9 TERROR
EV80161 SOMOS_O_QUE_SOMOS SELL 29.9 SUSPENSE
LU79634 SUBMARINO_(IDIOMA_DINAMARQUES) DVD-S 39.9 DRAMA
BV78433 TARZAN__ BLU-R 69.9 DESENHO
WB80985 TEORIA_DA_CONSPIRACAO__ BLU-R 49.9 SUSPENSE
FH79600 TOTALMENTE_INAPROPRIADO SELL 29.9 COMEDIA
EV79804 TREM_NOTURNO_PARA_LISBOA SELL 39.9 DRAMA
EV79812 TREM_NOTURNO_PARA_LISBOA__ BLU-R 39.9 DRAMA
WB80918 TRUE_DETECTIVE__1O._TEMPORADA_(3_DVDÔS)_(IDIOMA_INGLES) BOX 109.9 POLICIAL
IF79821 TUDO_POR_JUSTICA DVD-S 119.9 SUSPENSE
IF79839 TUDO_POR_JUSTICA_ BLU-R 119.9 SUSPENSE
PA79219 TUDO_POR_UM_FURO DVD-S 44.99 COMEDIA
PA79227 TUDO_POR_UM_FURO__ BLU-R 89.99 COMEDIA
WB80951 UM__AGENTE_NA_CORDA_BAMBA__ BLU-R 49.9 POLICIAL
PA79171 UM_PLANO_PERFEITO DVD-S 99.99 COMEDIA
PA79189 UM_PLANO_PERFEITO_ BLU-R 99.99 COMEDIA
MG79758 UMA_CARONA_PARA_O_AMOR SELL 29.9 COMEDIA
CA80012 UMA_LONGA_QUEDA DVD-S 105.9 COMEDIA
CA80021 UMA_LONGA_QUEDA_ BLU-R 89.9 COMEDIA
EV80187 UNDERCOVER__2O._TEMPORADA_(4_DVD'S)_ BOX 109.9 ACAO
LK79073 YVES_SAINT_LAURENT DVD-S 99.9 DRAMA
VV80071 ZONA_DE_CONFLITO DVD-S 89.9 GUERRA
VV80098 ZONA_DE_CONFLITO_(COMBO) DV+BD 119.9 GUERRA
VV80080 ZONA_DE_CONFLITO__ BLU-R 89.9 GUERRA
